input	target	error 
0.0000000000	0.1407336900	0.1407336900
0.0101010101	-0.0214350836	-0.0848590033
0.0202020202	-0.3261250974	-0.4527175510
0.0303030303	-0.1514384669	-0.3406897113
0.0404040404	0.6147815947	0.3636336075
0.0505050505	0.2600690510	-0.0519643947
0.0606060606	0.4074250690	0.0357626134
0.0707070707	0.1165241222	-0.3132707899
0.0808080808	0.2276420471	-0.2585546890
0.0909090909	-0.0907299482	-0.6313707657
0.1010101010	0.4444291468	-0.1484787822
0.1111111111	0.9643287518	0.3215411421
0.1212121212	0.9065455602	0.2164665487
0.1313131313	0.5225603686	-0.2120313401
0.1414141414	0.4642739688	-0.3118724955
0.1515151515	0.8961339177	0.0815579657
0.1616161616	0.7222337310	-0.1274916989
0.1717171717	1.0515594684	0.1701061049
0.1818181818	0.9925016011	0.0828696058
0.1919191919	0.6079276529	-0.3262202074
0.2020202020	0.7527953290	-0.2021069124
0.2121212121	1.0059060912	0.0340945229
0.2222222222	0.5412797873	-0.4435279657
0.2323232323	1.1513347646	0.1574963001
0.2424242424	1.1202789048	0.1214115656
0.2525252525	1.1729879235	0.1731137958
0.2626262626	0.4823541711	-0.5145006048
0.2727272727	0.6780408968	-0.3117805451
0.2828282828	0.8676083887	-0.1111940575
0.2929292929	0.6164744834	-0.3473676752
0.3030303030	0.5417072749	-0.4032935438
0.3131313131	1.1758198365	0.2534655424
0.3232323232	1.2187247094	0.3227309351
0.3333333333	0.8333104112	-0.0327149926
0.3434343434	1.3256387757	0.4930689211
0.3535353535	0.3549454527	-0.4408163879
0.3636363636	0.8628557436	0.1071061692
0.3737373737	0.5103141403	-0.2023800311
0.3838383838	0.1336978854	-0.5330711151
0.3939393939	0.3274848425	-0.2906741437
0.4040404040	0.1787027868	-0.3883570771
0.4141414141	0.6377988232	0.1241214316
0.4242424242	0.5412250356	0.0829985139
0.4343434343	0.2593201821	-0.1416103533
0.4444444444	0.3378322176	-0.0041879257
0.4545454545	0.1729696591	-0.1087628977
0.4646464646	0.2184644618	-0.0018460710
0.4747474747	-0.1189168002	-0.2769181962
0.4848484848	0.3637712340	0.2687151907
0.4949494949	0.2733011411	0.2415732076
0.5050505051	-0.3936514680	-0.3619235345
0.5151515152	0.6746377406	0.7696937839
0.5252525253	0.2713753999	0.4293767959
0.5353535354	0.1817821222	0.4020926549
0.5454545455	-0.6328221960	-0.3510896391
0.5555555556	-0.4098709288	-0.0678507855
0.5656565657	-0.2776801821	0.1232503534
0.5757575758	-0.2140714360	0.2441550857
0.5858585859	-0.4740764405	0.0396009511
0.5959595960	-0.8152549445	-0.2481950807
0.6060606061	-0.6410990915	-0.0229401053
0.6161616162	-1.0230722737	-0.3563032732
0.6262626263	-0.3736559820	0.3390381893
0.6363636364	-1.1867707699	-0.4310211955
0.6464646465	-1.2198661019	-0.4241042613
0.6565656566	-0.3501937123	0.4823761424
0.6666666667	-0.5587713557	0.3072540481
0.6767676768	-0.7251121952	0.1708815791
0.6868686869	-0.6595823733	0.2627719208
0.6969696970	-1.6084124888	-0.6634116701
0.7070707071	-0.6715023379	0.2923398207
0.7171717172	-1.5808266078	-0.6020241615
0.7272727273	-1.1128216123	-0.1230001704
0.7373737374	-1.0204460516	-0.0235912756
0.7474747475	-0.8360885518	0.1637855759
0.7575757576	-1.3646323861	-0.3657650469
0.7676767677	-1.3618860482	-0.3680475837
0.7777777778	-0.7538666602	0.2309410928
0.7878787879	-1.3561857606	-0.3843741923
0.7979797980	-1.1732143525	-0.2183121111
0.8080808081	-0.9705397287	-0.0363918684
0.8181818182	-0.9389967972	-0.0293648018
0.8282828283	-0.6727209685	0.2087323950
0.8383838384	-0.7472051232	0.1025203068
0.8484848485	-0.5266582740	0.2879176780
0.8585858586	-1.1092472952	-0.3331008309
0.8686868687	-0.9205844845	-0.1859927758
0.8787878788	-0.6451545159	0.0449244956
0.8888888889	-0.8624894208	-0.2197018112
0.8989898990	-0.3865864122	0.2063215169
0.9090909091	-0.4877075147	0.0529333028
0.9191919192	-0.3652038789	0.1209928572
0.9292929293	-0.4762801444	-0.0464852323
0.9393939394	-0.2811751200	0.0904873357
0.9494949495	-0.9659916273	-0.6539581816
0.9595959596	-0.6621027945	-0.4109548073
0.9696969697	-0.4755135964	-0.2862623520
0.9797979798	0.3122163612	0.4388088147
0.9898989899	-0.5863721932	-0.5229482735
1.0000000000	-0.2479772749	-0.2479772749
